datetime,value
2024-06-21 20:00:00,0.0
2024-06-21 20:01:00,3.333
2024-06-21 20:02:00,3.333
2024-06-21 20:03:00,3.333
2024-06-21 20:04:00,1.667
2024-06-21 20:05:00,1.667
2024-06-21 20:06:00,3.333
2024-06-21 20:07:00,6.667
2024-06-21 20:08:00,3.333
2024-06-21 20:09:00,0.303
2024-06-21 20:10:00,0.303
2024-06-21 20:11:00,0.303
2024-06-21 20:12:00,0.303
2024-06-21 20:13:00,0.303
2024-06-21 20:14:00,0.303
2024-06-21 20:15:00,0.303
2024-06-21 20:16:00,0.303
2024-06-21 20:17:00,0.303
2024-06-21 20:18:00,0.303
2024-06-21 20:19:00,0.303
2024-06-21 20:20:00,0.123
2024-06-21 20:21:00,0.123
2024-06-21 20:22:00,0.123
2024-06-21 20:23:00,0.123
2024-06-21 20:24:00,0.123
2024-06-21 20:25:00,0.123
2024-06-21 20:26:00,0.123
2024-06-21 20:27:00,0.123
2024-06-21 20:28:00,0.123
2024-06-21 20:29:00,0.123
2024-06-21 20:30:00,0.123
2024-06-21 20:31:00,0.123
2024-06-21 20:32:00,0.123
2024-06-21 20:33:00,0.123
2024-06-21 20:34:00,0.123
2024-06-21 20:35:00,0.123
2024-06-21 20:36:00,0.123
2024-06-21 20:37:00,0.123
2024-06-21 20:38:00,0.123
2024-06-21 20:39:00,0.123
2024-06-21 20:40:00,0.123
2024-06-21 20:41:00,0.123
2024-06-21 20:42:00,0.123
2024-06-21 20:43:00,0.123
2024-06-21 20:44:00,0.123
2024-06-21 20:45:00,0.123
2024-06-21 20:46:00,0.123
2024-06-21 20:47:00,0.333
2024-06-21 20:48:00,0.333
2024-06-21 20:49:00,0.333
2024-06-21 20:50:00,0.333
2024-06-21 20:51:00,0.333
2024-06-21 20:52:00,0.333
2024-06-21 20:53:00,0.333
2024-06-21 20:54:00,0.333
2024-06-21 20:55:00,0.333
2024-06-21 20:56:00,0.333
2024-06-21 20:57:00,0.588
2024-06-21 20:58:00,0.588
2024-06-21 20:59:00,0.588
2024-06-21 21:00:00,0.588
2024-06-21 21:01:00,0.588
2024-06-21 21:02:00,0.588
2024-06-21 21:03:00,0.588
2024-06-21 21:04:00,0.588
2024-06-21 21:05:00,0.588
2024-06-21 21:06:00,0.588
2024-06-21 21:07:00,0.588
2024-06-21 21:08:00,0.588
2024-06-21 21:09:00,0.588
2024-06-21 21:10:00,0.588
2024-06-21 21:11:00,0.588
2024-06-21 21:12:00,0.588
2024-06-21 21:13:00,0.588
2024-06-21 21:14:00,3.333
2024-06-21 21:15:00,3.333
2024-06-21 21:16:00,3.333
2024-06-21 21:17:00,3.333
2024-06-21 21:18:00,1.111
2024-06-21 21:19:00,1.111
2024-06-21 21:20:00,1.111
2024-06-21 21:21:00,0.833
2024-06-21 21:22:00,0.833
2024-06-21 21:23:00,0.833
2024-06-21 21:24:00,0.833
2024-06-21 21:25:00,0.185
2024-06-21 21:26:00,0.185
2024-06-21 21:27:00,0.185
2024-06-21 21:28:00,0.185
2024-06-21 21:29:00,0.185
2024-06-21 21:30:00,0.185
2024-06-21 21:31:00,0.185
2024-06-21 21:32:00,0.185
2024-06-21 21:33:00,0.185
2024-06-21 21:34:00,0.185
2024-06-21 21:35:00,0.185
2024-06-21 21:36:00,0.185
2024-06-21 21:37:00,0.185
2024-06-21 21:38:00,0.185
2024-06-21 21:39:00,0.185
2024-06-21 21:40:00,0.185
2024-06-21 21:41:00,0.185
2024-06-21 21:42:00,0.185
2024-06-21 21:43:00,0.0
2024-06-21 23:15:00,0.0
2024-06-21 23:16:00,3.333
2024-06-21 23:17:00,0.667
2024-06-21 23:18:00,0.667
2024-06-21 23:19:00,0.667
2024-06-21 23:20:00,0.667
2024-06-21 23:21:00,0.667
2024-06-21 23:22:00,0.476
2024-06-21 23:23:00,0.476
2024-06-21 23:24:00,0.476
2024-06-21 23:25:00,0.476
2024-06-21 23:26:00,0.476
2024-06-21 23:27:00,0.476
2024-06-21 23:28:00,0.476
2024-06-21 23:29:00,0.833
2024-06-21 23:30:00,0.833
2024-06-21 23:31:00,0.833
2024-06-21 23:32:00,0.833
2024-06-21 23:33:00,1.667
2024-06-21 23:34:00,1.667
2024-06-21 23:35:00,0.37
2024-06-21 23:36:00,0.37
2024-06-21 23:37:00,0.37
2024-06-21 23:38:00,0.37
2024-06-21 23:39:00,0.37
2024-06-21 23:40:00,0.37
2024-06-21 23:41:00,0.37
2024-06-21 23:42:00,0.37
2024-06-21 23:43:00,0.37
2024-06-21 23:44:00,0.37
2024-06-21 23:45:00,0.37
2024-06-21 23:46:00,0.37
2024-06-21 23:47:00,0.37
2024-06-21 23:48:00,0.37
2024-06-21 23:49:00,0.37
2024-06-21 23:50:00,0.37
2024-06-21 23:51:00,0.37
2024-06-21 23:52:00,0.37
2024-06-21 23:53:00,0.476
2024-06-21 23:54:00,0.476
2024-06-21 23:55:00,0.476
2024-06-21 23:56:00,0.476
2024-06-21 23:57:00,0.476
2024-06-21 23:58:00,0.476
2024-06-21 23:59:00,0.476
2024-06-22 00:00:00,0.37
2024-06-22 00:01:00,0.37
2024-06-22 00:02:00,0.37
2024-06-22 00:03:00,0.37
2024-06-22 00:04:00,0.37
2024-06-22 00:05:00,0.37
2024-06-22 00:06:00,0.37
2024-06-22 00:07:00,0.37
2024-06-22 00:08:00,0.37
2024-06-22 00:09:00,0.0
2024-06-22 01:46:00,0.0
2024-06-22 01:47:00,3.333
2024-06-22 01:48:00,3.333
2024-06-22 01:49:00,0.0
2024-06-22 13:43:00,0.0
2024-06-22 13:44:00,3.333
2024-06-22 13:45:00,0.222
2024-06-22 13:46:00,0.222
2024-06-22 13:47:00,0.222
2024-06-22 13:48:00,0.222
2024-06-22 13:49:00,0.222
2024-06-22 13:50:00,0.222
2024-06-22 13:51:00,0.222
2024-06-22 13:52:00,0.222
2024-06-22 13:53:00,0.222
2024-06-22 13:54:00,0.222
2024-06-22 13:55:00,0.222
2024-06-22 13:56:00,0.222
2024-06-22 13:57:00,0.222
2024-06-22 13:58:00,0.222
2024-06-22 13:59:00,0.222
2024-06-22 14:00:00,0.0
2024-06-27 21:37:00,0.0
2024-06-27 21:38:00,3.333
2024-06-27 21:39:00,6.667
2024-06-27 21:40:00,6.667
2024-06-27 21:41:00,6.667
2024-06-27 21:42:00,3.333
2024-06-27 21:43:00,0.303
2024-06-27 21:44:00,0.303
2024-06-27 21:45:00,0.303
2024-06-27 21:46:00,0.303
2024-06-27 21:47:00,0.303
